species,pic_id,original_filename,local_filename,url,family,in_miyazawa,download_status,file_size
Chaetodon vagabundus,10004,10004AF.jpg,Chaetodon_vagabundus_FishPix_10004.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10004AF.jpg,Chaetodontidae,yes,exists,23552
Chaetodon rafflesii,10012,10012AF.jpg,Chaetodon_rafflesii_FishPix_10012.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10012AF.jpg,Chaetodontidae,yes,exists,28672
Coradion melanopus,10029,10029AF.jpg,Coradion_melanopus_FishPix_10029.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10029AF.jpg,Chaetodontidae,yes,exists,21504
Chaetodon ornatissimus,10043,10043AF.jpg,Chaetodon_ornatissimus_FishPix_10043.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10043AF.jpg,Chaetodontidae,yes,exists,27648
Chaetodon bennetti,10061,10061AF.jpg,Chaetodon_bennetti_FishPix_10061.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10061AF.jpg,Chaetodontidae,no,exists,19456
Chaetodon punctatofasciatus,10063,10063AF.jpg,Chaetodon_punctatofasciatus_FishPix_10063.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10063AF.jpg,Chaetodontidae,yes,exists,29696
Chaetodon argentatus,10095,10095AF.jpg,Chaetodon_argentatus_FishPix_10095.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10095AF.jpg,Chaetodontidae,no,exists,24576
Chaetodon nippon,10165,10165AF.jpg,Chaetodon_nippon_FishPix_10165.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10165AF.jpg,Chaetodontidae,no,exists,32768
Chaetodon auripes,10258,10258AF.jpg,Chaetodon_auripes_FishPix_10258.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10258AF.jpg,Chaetodontidae,no,exists,30720
Chaetodon argentatus,10341,10341AF.jpg,Chaetodon_argentatus_FishPix_10341.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10341AF.jpg,Chaetodontidae,no,exists,27648
Chaetodon reticulatus,10349,10349AF.jpg,Chaetodon_reticulatus_FishPix_10349.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10349AF.jpg,Chaetodontidae,no,exists,29696
Chaetodon nippon,10409,10409AF.jpg,Chaetodon_nippon_FishPix_10409.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10409AF.jpg,Chaetodontidae,no,exists,31744
Heniochus chrysostomus,10410,10410AF.jpg,Heniochus_chrysostomus_FishPix_10410.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10410AF.jpg,Chaetodontidae,no,exists,41984
Chaetodon auriga,10431,10431AF.jpg,Chaetodon_auriga_FishPix_10431.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10431AF.jpg,Chaetodontidae,no,exists,43008
Chaetodon auriga,10472,10472AF.jpg,Chaetodon_auriga_FishPix_10472.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10472AF.jpg,Chaetodontidae,no,exists,21504
Chaetodon auripes,10473,10473AF.jpg,Chaetodon_auripes_FishPix_10473.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10473AF.jpg,Chaetodontidae,no,exists,26624
Roa modesta,10474,10474AF.jpg,Roa_modesta_FishPix_10474.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10474AF.jpg,Chaetodontidae,no,exists,22528
Chaetodon nippon,10475,10475AF.jpg,Chaetodon_nippon_FishPix_10475.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10475AF.jpg,Chaetodontidae,no,exists,15360
Chaetodon trifascialis,10580,10580AF.jpg,Chaetodon_trifascialis_FishPix_10580.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10580AF.jpg,Chaetodontidae,no,exists,100827
Chaetodon melannotus,10581,10581AF.jpg,Chaetodon_melannotus_FishPix_10581.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10581AF.jpg,Chaetodontidae,no,exists,92117
Chaetodon auriga,10582,10582AF.jpg,Chaetodon_auriga_FishPix_10582.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10582AF.jpg,Chaetodontidae,no,exists,121660
Chaetodon plebeius,10583,10583AF.jpg,Chaetodon_plebeius_FishPix_10583.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10583AF.jpg,Chaetodontidae,no,exists,88670
Chaetodon wiebeli,10584,10584AF.jpg,Chaetodon_wiebeli_FishPix_10584.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10584AF.jpg,Chaetodontidae,no,exists,79396
Chaetodon wiebeli,10585,10585AF.jpg,Chaetodon_wiebeli_FishPix_10585.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10585AF.jpg,Chaetodontidae,no,exists,66934
Chaetodon auripes,10586,10586AF.jpg,Chaetodon_auripes_FishPix_10586.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10586AF.jpg,Chaetodontidae,no,exists,101927
Chaetodon kleinii,10587,10587AF.jpg,Chaetodon_kleinii_FishPix_10587.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10587AF.jpg,Chaetodontidae,yes,exists,72788
Heniochus chrysostomus,10592,10592AF.jpg,Heniochus_chrysostomus_FishPix_10592.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10592AF.jpg,Chaetodontidae,no,exists,108698
Heniochus diphreutes,10593,10593AF.jpg,Heniochus_diphreutes_FishPix_10593.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10593AF.jpg,Chaetodontidae,no,exists,75950
Coradion melanopus,10621,10621AF.jpg,Coradion_melanopus_FishPix_10621.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10621AF.jpg,Chaetodontidae,no,exists,138880
Chaetodon baronessa,10624,10624AF.jpg,Chaetodon_baronessa_FishPix_10624.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10624AF.jpg,Chaetodontidae,no,exists,121234
Chaetodon semilarvatus,10689,10689AF.jpg,Chaetodon_semilarvatus_FishPix_10689.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10689AF.jpg,Chaetodontidae,no,exists,149246
Chaetodon austriacus,10690,10690AF.jpg,Chaetodon_austriacus_FishPix_10690.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10690AF.jpg,Chaetodontidae,no,exists,155056
Chaetodon fasciatus,10691,10691AF.jpg,Chaetodon_fasciatus_FishPix_10691.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10691AF.jpg,Chaetodontidae,no,exists,112656
Chaetodon fasciatus,10692,10692AF.jpg,Chaetodon_fasciatus_FishPix_10692.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10692AF.jpg,Chaetodontidae,no,exists,155771
Chaetodon auriga,10693,10693AF.jpg,Chaetodon_auriga_FishPix_10693.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10693AF.jpg,Chaetodontidae,no,exists,64162
Chaetodon auriga,10694,10694AF.jpg,Chaetodon_auriga_FishPix_10694.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10694AF.jpg,Chaetodontidae,no,exists,107898
Chaetodon trifascialis,10695,10695AF.jpg,Chaetodon_trifascialis_FishPix_10695.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10695AF.jpg,Chaetodontidae,no,exists,69075
Chaetodon paucifasciatus,10696,10696AF.jpg,Chaetodon_paucifasciatus_FishPix_10696.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10696AF.jpg,Chaetodontidae,no,exists,154090
Heniochus intermedius,10697,10697AF.jpg,Heniochus_intermedius_FishPix_10697.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10697AF.jpg,Chaetodontidae,no,exists,167605
Heniochus intermedius,10698,10698AF.jpg,Heniochus_intermedius_FishPix_10698.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10698AF.jpg,Chaetodontidae,no,exists,100623
Chaetodon reticulatus,107133,107133AF.jpg,Chaetodon_reticulatus_FishPix_107133.jpg,https://fishpix.kahaku.go.jp/photos/NR0107/107133AF.jpg,Chaetodontidae,no,exists,162930
Chaetodon reticulatus,107134,107134AF.jpg,Chaetodon_reticulatus_FishPix_107134.jpg,https://fishpix.kahaku.go.jp/photos/NR0107/107134AF.jpg,Chaetodontidae,yes,exists,160930
Chaetodon lunula,107269,107269AF.jpg,Chaetodon_lunula_FishPix_107269.jpg,https://fishpix.kahaku.go.jp/photos/NR0107/107269AF.jpg,Chaetodontidae,no,exists,133477
Chaetodon lunula,107270,107270AF.jpg,Chaetodon_lunula_FishPix_107270.jpg,https://fishpix.kahaku.go.jp/photos/NR0107/107270AF.jpg,Chaetodontidae,no,exists,136784
Chaetodon auriga,10730,10730AF.jpg,Chaetodon_auriga_FishPix_10730.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10730AF.jpg,Chaetodontidae,no,exists,69042
Chaetodon wiebeli,107464,107464AF.jpg,Chaetodon_wiebeli_FishPix_107464.jpg,https://fishpix.kahaku.go.jp/photos/NR0107/107464AF.jpg,Chaetodontidae,yes,exists,130492
Heniochus varius,10755,10755AF.jpg,Heniochus_varius_FishPix_10755.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10755AF.jpg,Chaetodontidae,no,exists,28672
Heniochus chrysostomus,10765,10765AF.jpg,Heniochus_chrysostomus_FishPix_10765.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10765AF.jpg,Chaetodontidae,no,exists,30720
Hemitaurichthys polylepis,10768,10768AF.jpg,Hemitaurichthys_polylepis_FishPix_10768.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10768AF.jpg,Chaetodontidae,no,exists,24576
Forcipiger flavissimus,10771,10771AF.jpg,Forcipiger_flavissimus_FishPix_10771.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10771AF.jpg,Chaetodontidae,no,exists,23552
Parachaetodon ocellatus,107713,107713AF.jpg,Parachaetodon_ocellatus_FishPix_107713.jpg,https://fishpix.kahaku.go.jp/photos/NR0107/107713AF.jpg,Chaetodontidae,no,exists,131188
Chaetodon reticulatus,10773,10773AF.jpg,Chaetodon_reticulatus_FishPix_10773.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10773AF.jpg,Chaetodontidae,no,exists,23552
